"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,CO2,4908.8,4867.4,4969.8,5086.1,5171.1,5227.1,5412.4,5484.8,5527.8,5603.3,5779.2,5702.4,5743.3,5795,5902,5932.5,5847.3,5924,5740.5,5347.1,5520,5386.6,5179.7,5330.8,5377.9
,Fossil Fuel Combustion,4740.7,4690.3,4793.2,4915.3,4990,5041.2,5232.8,5297.1,5333.7,5401.3,5594,5525.2,5560.9,5620,5709.2,5747.1,5660.6,5751.2,5566.7,5193.5,5358.3,5227.7,5024.7,5157.6,5208.2
,   Electricity Generation,1820.8,1818.2,1831.5,1906.9,1931.2,1947.9,2021,2088.4,2177.4,2190.5,2296.9,2257.9,2272.7,2304.2,2335.9,2400.9,2345.3,2411.9,2360.1,2145.7,2258.4,2157.7,2022.2,2038.1,2039.3
,   Transportation,1493.8,1447.6,1496.9,1532.4,1577,1609.9,1654.3,1670.1,1706.6,1761.1,1805.5,1789.4,1830.6,1822.3,1867.1,1887,1882.6,1886.1,1791.8,1717,1728.3,1707.6,1696.8,1713,1737.6
,   Industrial,842.5,822.5,857.4,855.7,864.8,870.5,907.4,906.8,869.1,845.9,854.1,843,829.8,829.6,852.3,828,852.6,847.9,802.8,727.7,775.5,773.3,782.9,812.2,813.3
,   Residential,338.3,347.2,353.5,365.8,356.8,352.8,383.1,364.7,331.2,350.6,370.8,362.2,360,378.9,367.4,357.8,321.3,341.3,347.6,336.3,334.6,326.8,282.5,329.7,345.1
,   Commercial,217.4,223.3,220.6,220.1,222.4,225.6,234.5,233.6,215.9,218.8,230.9,225,225,235.2,234.2,223.5,208.6,218.8,223.6,223.5,220.1,220.7,196.7,221,231.9
,   U.S. Territories,27.9,31.6,33.3,34.4,37.8,34.5,32.6,33.4,33.4,34.5,35.9,47.8,42.8,49.9,52.1,49.9,50.2,45.1,40.8,43.5,41.4,41.5,43.6,43.5,41
,Non-Energy Use of Fuels,118.1,127.6,125.9,116.4,125.5,128.3,123.8,132.3,149.7,156.3,140.3,132.6,136.5,129.9,147.8,138.9,140.1,125.2,125.3,106.2,114.1,108.5,105.6,121.7,114.3
,Natural Gas Systems,37.7,38,37.7,41,41.1,42.6,40.1,39.7,29.7,30.8,29.9,29.3,30.1,29,28.7,30.1,30.2,31,32.8,32.3,32.4,35.7,35.2,38.5,42.4
,Incineration of Waste,8,8,9.5,9.8,10.9,11.3,11.9,11.9,10.8,11,11.1,11.4,11.8,12.1,12.4,12.5,12.5,12.7,11.9,11.3,11,10.5,10.4,9.4,9.4
,Petroleum Systems,3.6,3.5,3.6,3.6,3.6,3.7,3.7,3.8,3.9,3.8,3.9,3.9,3.9,4,4,3.9,3.9,3.9,3.8,3.7,4.2,4.2,3.9,3.7,3.6
,Biomass-Wooda,215.2,215.3,225,219.3,225,229.1,235.7,228.5,210.4,213.3,218.1,193.5,192.8,193.8,205.1,206.9,202.9,202.3,199.9,188.2,192.5,195.2,194.9,211.6,217.7
,International Bunker Fuelsa,103.5,117.6,107.9,97.8,96.7,98.5,99.7,107,110.5,102.7,101.7,93.7,94.4,98.3,108.4,113.1,114.1,115.3,114.3,106.4,117,111.7,105.8,99.8,103.2
,Biomass-Ethanola,4.2,4.9,5.6,6.5,7.3,7.8,5.6,7.1,7.8,8.2,9.3,9.8,11.7,16,20.1,22.9,31,38.9,54.7,62.3,72.6,72.9,72.8,74.7,76.1
,CH4,363.3,362.3,358.6,343,346.7,340.9,341.2,337.8,333.7,326,322.5,323.8,312.2,310.9,310.4,307,311,308.2,322.3,319.4,318.5,313.3,312.5,321.2,328.3
,Natural Gas Systems,206.8,208.9,207.7,206.8,207.8,201.9,200.9,198.5,195.3,192.1,189.7,191.7,184.4,182.5,180,177.3,179.4,176.7,179.1,171.4,166.2,170.1,172.6,175.6,176.1
,Petroleum Systems,38.7,38.8,37.9,37,38.2,39.5,40.8,42.4,42.9,43.2,44.5,45.8,46.4,47.1,48,48.8,50,50.6,51.4,52.1,54.1,56.3,58.4,64.7,68.1
,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,67.6
,Stationary Combustion,8.5,8.7,9,8.4,8.2,8.2,8.5,7.7,7,7.2,7.5,7,7,7.2,7.4,7.4,6.9,7.2,7.4,7.4,7.1,7.1,6.6,8,8.1
,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9,8.2,8.3,8.8,8,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3
,Mobile Combustion,5.6,5.5,5.5,5.4,5.3,5.2,5,4.8,4.6,4,3.7,3.5,3.2,3,2.9,2.7,2.7,2.5,2.4,2.3,2.3,2.2,2.2,2.1,2
,Incineration of Waste,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
,International Bunker Fuelsa,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
,N2O,53.6,55.3,58.5,60.8,62.8,64.2,65.5,66.3,66.5,63.7,63.4,59.8,58.5,56.6,56.2,55,53,49.6,47.2,45.3,46.1,44,41.7,41.4,40
,Stationary Combustion,11.9,11.8,12,12.3,12.5,12.6,12.9,13,13,13.2,14,14.4,16,17.3,19,20.2,20.4,20.8,20.8,20.4,22.2,21.3,21.4,22.9,23.4
,Mobile Combustion,41.2,43.1,46.1,48.1,49.9,51.2,52.1,52.9,53.1,50.2,49,45,42.1,38.9,36.8,34.4,32.2,28.4,26,24.5,23.6,22.4,20,18.2,16.3
,Incineration of Waste,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
,International Bunker Fuelsa,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9
,Total,5324.9,5285,5387,5489.8,5580.6,5632.1,5819,5888.9,5928,5993,6165.1,6086,6114,6162.5,6268.6,6294.5,6211.2,6281.7,6110,5711.9,5884.6,5744,5533.9,5693.5,5746.2
,+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,
,"a These values are presented for informational purposes only, in line with IPCC methodological guidance and UNFCCC reporting obligations, and are not included in the specific energy sector contribution to the totals, and are already accounted for elsewhere.",,,,,,,,,,,,,,,,,,,,,,,,,
,Note:  Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,
